index,mid,display_name,main_class
83,/m/07qrkrw,Meow,sound effect
84,/m/07rjwbb,Hiss,sound effect
85,/m/07r81j2,Caterwaul,sound effect
86,/m/0ch8v,"Livestock, farm animals, working animals",sound effect
87,/m/03k3r,Horse,sound effect
88,/m/07rv9rh,Clip-clop,sound effect
89,/m/07q5rw0,"Neigh, whinny",sound effect
90,/m/01xq0k1,"Cattle, bovinae",sound effect
91,/m/07rpkh9,Moo,sound effect
92,/m/0239kh,Cowbell,sound effect
93,/m/068zj,Pig,sound effect
94,/t/dd00018,Oink,sound effect
95,/m/03fwl,Goat,sound effect
96,/m/07q0h5t,Bleat,sound effect
97,/m/07bgp,Sheep,sound effect
98,/m/025rv6n,Fowl,sound effect
99,/m/09b5t,"Chicken, rooster",sound effect
100,/m/07st89h,Cluck,sound effect
101,/m/07qn5dc,"Crowing, cock-a-doodle-doo",sound effect
102,/m/01rd7k,Turkey,sound effect
103,/m/07svc2k,Gobble,sound effect
104,/m/09ddx,Duck,sound effect
105,/m/07qdb04,Quack,sound effect
106,/m/0dbvp,Goose,sound effect
107,/m/07qwf61,Honk,sound effect
108,/m/01280g,Wild animals,sound effect
109,/m/0cdnk,"Roaring cats (lions, tigers)",sound effect
110,/m/04cvmfc,Roar,sound effect
111,/m/015p6,Bird,sound effect
112,/m/020bb7,"Bird vocalization, bird call, bird song",sound effect
113,/m/07pggtn,"Chirp, tweet",sound effect
114,/m/07sx8x_,Squawk,sound effect
115,/m/0h0rv,"Pigeon, dove",sound effect
116,/m/07r_25d,Coo,sound effect
117,/m/04s8yn,Crow,sound effect
118,/m/07r5c2p,Caw,sound effect
119,/m/09d5_,Owl,sound effect
120,/m/07r_80w,Hoot,sound effect
121,/m/05_wcq,"Bird flight, flapping wings",sound effect
122,/m/01z5f,"Canidae, dogs, wolves",sound effect
123,/m/06hps,"Rodents, rats, mice",sound effect
124,/m/04rmv,Mouse,sound effect
125,/m/07r4gkf,Patter,sound effect
126,/m/03vt0,Insect,sound effect
127,/m/09xqv,Cricket,sound effect
128,/m/09f96,Mosquito,sound effect
129,/m/0h2mp,"Fly, housefly",sound effect
130,/m/07pjwq1,Buzz,sound effect
131,/m/01h3n,"Bee, wasp, etc.",sound effect
132,/m/09ld4,Frog,sound effect
133,/m/07st88b,Croak,sound effect
134,/m/078jl,Snake,sound effect
135,/m/07qn4z3,Rattle,sound effect
136,/m/032n05,Whale vocalization,sound effect
137,/m/04rlf,Music,music
138,/m/04szw,Musical instrument,music
139,/m/0fx80y,Plucked string instrument,music
140,/m/0342h,Guitar,music
141,/m/02sgy,Electric guitar,music
142,/m/018vs,Bass guitar,music
143,/m/042v_gx,Acoustic guitar,music
144,/m/06w87,"Steel guitar, slide guitar",music
145,/m/01glhc,Tapping (guitar technique),music
146,/m/07s0s5r,Strum,sound effect
147,/m/018j2,Banjo,sound effect
148,/m/0jtg0,Sitar,sound effect
149,/m/04rzd,Mandolin,sound effect
150,/m/01bns_,Zither,sound effect
151,/m/07xzm,Ukulele,sound effect
152,/m/05148p4,Keyboard (musical),music
153,/m/05r5c,Piano,music
154,/m/01s0ps,Electric piano,music
155,/m/013y1f,Organ,sound effect
156,/m/03xq_f,Electronic organ,sound effect
157,/m/03gvt,Hammond organ,sound effect
158,/m/0l14qv,Synthesizer,sound effect
159,/m/01v1d8,Sampler,sound effect
160,/m/03q5t,Harpsichord,sound effect
161,/m/0l14md,Percussion,sound effect
162,/m/02hnl,Drum kit,music
163,/m/0cfdd,Drum machine,music
164,/m/026t6,Drum,music
165,/m/06rvn,Snare drum,music
166,/m/03t3fj,Rimshot,sound effect
167,/m/02k_mr,Drum roll,music
168,/m/0bm02,Bass drum,music
169,/m/011k_j,Timpani,sound effect
170,/m/01p970,Tabla,sound effect
171,/m/01qbl,Cymbal,sound effect
172,/m/03qtq,Hi-hat,sound effect
173,/m/01sm1g,Wood block,sound effect
174,/m/07brj,Tambourine,sound effect
175,/m/05r5wn,Rattle (instrument),music
176,/m/0xzly,Maraca,sound effect
177,/m/0mbct,Gong,sound effect
178,/m/016622,Tubular bells,sound effect
179,/m/0j45pbj,Mallet percussion,sound effect
180,/m/0dwsp,"Marimba, xylophone",sound effect
181,/m/0dwtp,Glockenspiel,sound effect
182,/m/0dwt5,Vibraphone,sound effect
183,/m/0l156b,Steelpan,sound effect
184,/m/05pd6,Orchestra,music
185,/m/01kcd,Brass instrument,music
186,/m/0319l,French horn,sound effect
187,/m/07gql,Trumpet,sound effect
188,/m/07c6l,Trombone,sound effect
189,/m/0l14_3,Bowed string instrument,music
190,/m/02qmj0d,String section,sound effect
191,/m/07y_7,"Violin, fiddle",music
192,/m/0d8_n,Pizzicato,sound effect
193,/m/01xqw,Cello,sound effect
194,/m/02fsn,Double bass,sound effect
195,/m/085jw,"Wind instrument, woodwind instrument",music
196,/m/0l14j_,Flute,music
197,/m/06ncr,Saxophone,music
198,/m/01wy6,Clarinet,sound effect
199,/m/03m5k,Harp,sound effect
200,/m/0395lw,Bell,sound effect
201,/m/03w41f,Church bell,sound effect
202,/m/027m70_,Jingle bell,sound effect
203,/m/0gy1t2s,Bicycle bell,sound effect
204,/m/07n_g,Tuning fork,sound effect
205,/m/0f8s22,Chime,sound effect
206,/m/026fgl,Wind chime,sound effect
207,/m/0150b9,Change ringing (campanology),sound effect
208,/m/03qjg,Harmonica,sound effect
209,/m/0mkg,Accordion,sound effect
210,/m/0192l,Bagpipes,sound effect
211,/m/02bxd,Didgeridoo,sound effect
212,/m/0l14l2,Shofar,sound effect
213,/m/07kc_,Theremin,sound effect
214,/m/0l14t7,Singing bowl,music
215,/m/01hgjl,Scratching (performance technique),sound effect
216,/m/064t9,Pop music,music
217,/m/0glt670,Hip hop music,music
218,/m/02cz_7,Beatboxing,sound effect
219,/m/06by7,Rock music,music
220,/m/03lty,Heavy metal,sound effect
221,/m/05r6t,Punk rock,sound effect
222,/m/0dls3,Grunge,sound effect
223,/m/0dl5d,Progressive rock,sound effect
224,/m/07sbbz2,Rock and roll,sound effect
225,/m/05w3f,Psychedelic rock,sound effect
226,/m/06j6l,Rhythm and blues,sound effect
227,/m/0gywn,Soul music,music
228,/m/06cqb,Reggae,sound effect
229,/m/01lyv,Country,sound effect
230,/m/015y_n,Swing music,music
231,/m/0gg8l,Bluegrass,sound effect
232,/m/02x8m,Funk,sound effect
233,/m/02w4v,Folk music,music
234,/m/06j64v,Middle Eastern music,music
235,/m/03_d0,Jazz,sound effect
236,/m/026z9,Disco,sound effect
237,/m/0ggq0m,Classical music,music
238,/m/05lls,Opera,sound effect
239,/m/02lkt,Electronic music,music
240,/m/03mb9,House music,music
241,/m/07gxw,Techno,sound effect
242,/m/07s72n,Dubstep,sound effect
243,/m/0283d,Drum and bass,music
244,/m/0m0jc,Electronica,sound effect
245,/m/08cyft,Electronic dance music,music
246,/m/0fd3y,Ambient music,music
247,/m/07lnk,Trance music,music
248,/m/0g293,Music of Latin America,music
249,/m/0ln16,Salsa music,music
250,/m/0326g,Flamenco,sound effect
251,/m/0155w,Blues,sound effect
252,/m/05fw6t,Music for children,music
253,/m/02v2lh,New-age music,music
254,/m/0y4f8,Vocal music,music
255,/m/0z9c,A capella,sound effect
256,/m/0164x2,Music of Africa,music
257,/m/0145m,Afrobeat,sound effect
258,/m/02mscn,Christian music,music
259,/m/016cjb,Gospel music,music
260,/m/028sqc,Music of Asia,music
261,/m/015vgc,Carnatic music,music
262,/m/0dq0md,Music of Bollywood,music
263,/m/06rqw,Ska,sound effect
264,/m/02p0sh1,Traditional music,music
265,/m/05rwpb,Independent music,music
266,/m/074ft,Song,music
267,/m/025td0t,Background music,music
268,/m/02cjck,Theme music,music
269,/m/03r5q_,Jingle (music),music
270,/m/0l14gg,Soundtrack music,music
271,/m/07pkxdp,Lullaby,sound effect
272,/m/01z7dr,Video game music,music
273,/m/0140xf,Christmas music,music
274,/m/0ggx5q,Dance music,music
275,/m/04wptg,Wedding music,music
276,/t/dd00031,Happy music,music
277,/t/dd00032,Funny music,music
278,/t/dd00033,Sad music,music
279,/t/dd00034,Tender music,music
280,/t/dd00035,Exciting music,music
281,/t/dd00036,Angry music,music
282,/t/dd00037,Scary music,music
283,/m/03m9d0z,Wind,sound effect
284,/m/09t49,Rustling leaves,sound effect
285,/t/dd00092,Wind noise (microphone),sound effect
286,/m/0jb2l,Thunderstorm,sound effect
287,/m/0ngt1,Thunder,sound effect
288,/m/0838f,Water,sound effect
289,/m/06mb1,Rain,sound effect
290,/m/07r10fb,Raindrop,sound effect
291,/t/dd00038,Rain on surface,sound effect
292,/m/0j6m2,Stream,sound effect
293,/m/0j2kx,Waterfall,sound effect
294,/m/05kq4,Ocean,sound effect
295,/m/034srq,"Waves, surf",sound effect
296,/m/06wzb,Steam,sound effect
297,/m/07swgks,Gurgling,sound effect
298,/m/02_41,Fire,sound effect
299,/m/07pzfmf,Crackle,sound effect
300,/m/07yv9,Vehicle,sound effect
301,/m/019jd,"Boat, Water vehicle",sound effect
302,/m/0hsrw,"Sailboat, sailing ship",sound effect
303,/m/056ks2,"Rowboat, canoe, kayak",sound effect
304,/m/02rlv9,"Motorboat, speedboat",sound effect
305,/m/06q74,Ship,sound effect
306,/m/012f08,Motor vehicle (road),sound effect
307,/m/0k4j,Car,sound effect
308,/m/0912c9,"Vehicle horn, car horn, honking",sound effect
309,/m/07qv_d5,Toot,sound effect
310,/m/02mfyn,Car alarm,sound effect
311,/m/04gxbd,"Power windows, electric windows",sound effect
312,/m/07rknqz,Skidding,sound effect
313,/m/0h9mv,Tire squeal,sound effect
314,/t/dd00134,Car passing by,sound effect
315,/m/0ltv,"Race car, auto racing",sound effect
316,/m/07r04,Truck,sound effect
317,/m/0gvgw0,Air brake,sound effect
318,/m/05x_td,"Air horn, truck horn",sound effect
319,/m/02rhddq,Reversing beeps,sound effect
320,/m/03cl9h,"Ice cream truck, ice cream van",sound effect
321,/m/01bjv,Bus,sound effect
322,/m/03j1ly,Emergency vehicle,sound effect
323,/m/04qvtq,Police car (siren),sound effect
324,/m/012n7d,Ambulance (siren),sound effect
325,/m/012ndj,"Fire engine, fire truck (siren)",sound effect
326,/m/04_sv,Motorcycle,sound effect
327,/m/0btp2,"Traffic noise, roadway noise",sound effect
328,/m/06d_3,Rail transport,sound effect
329,/m/07jdr,Train,sound effect
330,/m/04zmvq,Train whistle,sound effect
331,/m/0284vy3,Train horn,sound effect
332,/m/01g50p,"Railroad car, train wagon",sound effect
333,/t/dd00048,Train wheels squealing,sound effect
334,/m/0195fx,"Subway, metro, underground",sound effect
335,/m/0k5j,Aircraft,sound effect
336,/m/014yck,Aircraft engine,sound effect
337,/m/04229,Jet engine,sound effect
338,/m/02l6bg,"Propeller, airscrew",sound effect
339,/m/09ct_,Helicopter,sound effect
340,/m/0cmf2,"Fixed-wing aircraft, airplane",sound effect
341,/m/0199g,Bicycle,sound effect
342,/m/06_fw,Skateboard,sound effect
343,/m/02mk9,Engine,sound effect
344,/t/dd00065,Light engine (high frequency),sound effect
345,/m/08j51y,"Dental drill, dentist's drill",sound effect
346,/m/01yg9g,Lawn mower,sound effect
347,/m/01j4z9,Chainsaw,sound effect
348,/t/dd00066,Medium engine (mid frequency),sound effect
349,/t/dd00067,Heavy engine (low frequency),sound effect
350,/m/01h82_,Engine knocking,sound effect
351,/t/dd00130,Engine starting,sound effect
352,/m/07pb8fc,Idling,sound effect
353,/m/07q2z82,"Accelerating, revving, vroom",sound effect
354,/m/02dgv,Door,sound effect
355,/m/03wwcy,Doorbell,sound effect
356,/m/07r67yg,Ding-dong,sound effect
357,/m/02y_763,Sliding door,sound effect
358,/m/07rjzl8,Slam,sound effect
359,/m/07r4wb8,Knock,sound effect
360,/m/07qcpgn,Tap,sound effect
361,/m/07q6cd_,Squeak,sound effect
362,/m/0642b4,Cupboard open or close,sound effect
363,/m/0fqfqc,Drawer open or close,sound effect
364,/m/04brg2,"Dishes, pots, and pans",sound effect
365,/m/023pjk,"Cutlery, silverware",sound effect
366,/m/07pn_8q,Chopping (food),sound effect
367,/m/0dxrf,Frying (food),sound effect
368,/m/0fx9l,Microwave oven,sound effect
369,/m/02pjr4,Blender,sound effect
370,/m/02jz0l,"Water tap, faucet",sound effect
371,/m/0130jx,Sink (filling or washing),sound effect
372,/m/03dnzn,Bathtub (filling or washing),sound effect
373,/m/03wvsk,Hair dryer,sound effect
374,/m/01jt3m,Toilet flush,sound effect
375,/m/012xff,Toothbrush,sound effect
376,/m/04fgwm,Electric toothbrush,sound effect
377,/m/0d31p,Vacuum cleaner,sound effect
378,/m/01s0vc,Zipper (clothing),sound effect
379,/m/03v3yw,Keys jangling,sound effect
380,/m/0242l,Coin (dropping),sound effect
381,/m/01lsmm,Scissors,sound effect
382,/m/02g901,"Electric shaver, electric razor",sound effect
383,/m/05rj2,Shuffling cards,sound effect
384,/m/0316dw,Typing,sound effect
385,/m/0c2wf,Typewriter,sound effect
386,/m/01m2v,Computer keyboard,sound effect
387,/m/081rb,Writing,sound effect
388,/m/07pp_mv,Alarm,sound effect
389,/m/07cx4,Telephone,sound effect
390,/m/07pp8cl,Telephone bell ringing,sound effect
391,/m/01hnzm,Ringtone,sound effect
392,/m/02c8p,"Telephone dialing, DTMF",sound effect
393,/m/015jpf,Dial tone,sound effect
394,/m/01z47d,Busy signal,sound effect
395,/m/046dlr,Alarm clock,sound effect
396,/m/03kmc9,Siren,sound effect
397,/m/0dgbq,Civil defense siren,sound effect
398,/m/030rvx,Buzzer,sound effect
399,/m/01y3hg,"Smoke detector, smoke alarm",sound effect
400,/m/0c3f7m,Fire alarm,sound effect
401,/m/04fq5q,Foghorn,sound effect
402,/m/0l156k,Whistle,sound effect
403,/m/06hck5,Steam whistle,sound effect
404,/t/dd00077,Mechanisms,sound effect
405,/m/02bm9n,"Ratchet, pawl",sound effect
406,/m/01x3z,Clock,sound effect
407,/m/07qjznt,Tick,sound effect
408,/m/07qjznl,Tick-tock,sound effect
409,/m/0l7xg,Gears,sound effect
410,/m/05zc1,Pulleys,sound effect
411,/m/0llzx,Sewing machine,sound effect
412,/m/02x984l,Mechanical fan,sound effect
413,/m/025wky1,Air conditioning,sound effect
414,/m/024dl,Cash register,sound effect
415,/m/01m4t,Printer,sound effect
416,/m/0dv5r,Camera,sound effect
417,/m/07bjf,Single-lens reflex camera,sound effect
418,/m/07k1x,Tools,sound effect
419,/m/03l9g,Hammer,sound effect
420,/m/03p19w,Jackhammer,sound effect
421,/m/01b82r,Sawing,sound effect
422,/m/02p01q,Filing (rasp),sound effect
423,/m/023vsd,Sanding,sound effect
424,/m/0_ksk,Power tool,sound effect
425,/m/01d380,Drill,sound effect
426,/m/014zdl,Explosion,sound effect
427,/m/032s66,"Gunshot, gunfire",sound effect
428,/m/04zjc,Machine gun,sound effect
429,/m/02z32qm,Fusillade,sound effect
430,/m/0_1c,Artillery fire,sound effect
431,/m/073cg4,Cap gun,sound effect
432,/m/0g6b5,Fireworks,sound effect
433,/g/122z_qxw,Firecracker,sound effect
434,/m/07qsvvw,"Burst, pop",sound effect
435,/m/07pxg6y,Eruption,sound effect
436,/m/07qqyl4,Boom,sound effect
437,/m/083vt,Wood,sound effect
438,/m/07pczhz,Chop,sound effect
439,/m/07pl1bw,Splinter,sound effect
440,/m/07qs1cx,Crack,sound effect
441,/m/039jq,Glass,sound effect
442,/m/07q7njn,"Chink, clink",sound effect
443,/m/07rn7sz,Shatter,sound effect
444,/m/04k94,Liquid,sound effect
445,/m/07rrlb6,"Splash, splatter",sound effect
446,/m/07p6mqd,Slosh,sound effect
447,/m/07qlwh6,Squish,sound effect
448,/m/07r5v4s,Drip,sound effect
449,/m/07prgkl,Pour,sound effect
450,/m/07pqc89,"Trickle, dribble",sound effect
451,/t/dd00088,Gush,sound effect
452,/m/07p7b8y,Fill (with liquid),sound effect
453,/m/07qlf79,Spray,sound effect
454,/m/07ptzwd,Pump (liquid),sound effect
455,/m/07ptfmf,Stir,sound effect
456,/m/0dv3j,Boiling,sound effect
457,/m/0790c,Sonar,sound effect
458,/m/0dl83,Arrow,sound effect
459,/m/07rqsjt,"Whoosh, swoosh, swish",sound effect
460,/m/07qnq_y,"Thump, thud",sound effect
461,/m/07rrh0c,Thunk,sound effect
462,/m/0b_fwt,Electronic tuner,sound effect
463,/m/02rr_,Effects unit,sound effect
464,/m/07m2kt,Chorus effect,sound effect
465,/m/018w8,Basketball bounce,sound effect
466,/m/07pws3f,Bang,sound effect
467,/m/07ryjzk,"Slap, smack",sound effect
468,/m/07rdhzs,"Whack, thwack",sound effect
469,/m/07pjjrj,"Smash, crash",sound effect
470,/m/07pc8lb,Breaking,sound effect
471,/m/07pqn27,Bouncing,sound effect
472,/m/07rbp7_,Whip,sound effect
473,/m/07pyf11,Flap,sound effect
474,/m/07qb_dv,Scratch,sound effect
475,/m/07qv4k0,Scrape,sound effect
476,/m/07pdjhy,Rub,sound effect
477,/m/07s8j8t,Roll,sound effect
478,/m/07plct2,Crushing,sound effect
479,/t/dd00112,"Crumpling, crinkling",sound effect
480,/m/07qcx4z,Tearing,sound effect
481,/m/02fs_r,"Beep, bleep",sound effect
482,/m/07qwdck,Ping,sound effect
483,/m/07phxs1,Ding,sound effect
484,/m/07rv4dm,Clang,sound effect
485,/m/07s02z0,Squeal,sound effect
486,/m/07qh7jl,Creak,sound effect
487,/m/07qwyj0,Rustle,sound effect
488,/m/07s34ls,Whir,sound effect
489,/m/07qmpdm,Clatter,sound effect
490,/m/07p9k1k,Sizzle,sound effect
491,/m/07qc9xj,Clicking,sound effect
492,/m/07rwm0c,Clickety-clack,sound effect
493,/m/07phhsh,Rumble,sound effect
494,/m/07qyrcz,Plop,sound effect
495,/m/07qfgpx,"Jingle, tinkle",sound effect
496,/m/07rcgpl,Hum,sound effect
497,/m/07p78v5,Zing,sound effect
498,/t/dd00121,Boing,sound effect
499,/m/07s12q4,Crunch,sound effect
500,/m/028v0c,Silence,Silence
501,/m/01v_m0,Sine wave,sound effect
502,/m/0b9m1,Harmonic,sound effect
503,/m/0hdsk,Chirp tone,sound effect
504,/m/0c1dj,Sound effect,sound effect
505,/m/07pt_g0,Pulse,sound effect
506,/t/dd00125,"Inside, small room",sound effect
507,/t/dd00126,"Inside, large room or hall",sound effect
508,/t/dd00127,"Inside, public space",sound effect
509,/t/dd00128,"Outside, urban or manmade",sound effect
510,/t/dd00129,"Outside, rural or natural",sound effect
511,/m/01b9nn,Reverberation,sound effect
512,/m/01jnbd,Echo,sound effect
513,/m/096m7z,Noise,sound effect
514,/m/06_y0by,Environmental noise,sound effect
515,/m/07rgkc5,Static,sound effect
516,/m/06xkwv,Mains hum,sound effect
517,/m/0g12c5,Distortion,sound effect
518,/m/08p9q4,Sidetone,sound effect
519,/m/07szfh9,Cacophony,sound effect
520,/m/0chx_,White noise,sound effect
521,/m/0cj0r,Pink noise,sound effect
522,/m/07p_0gm,Throbbing,sound effect
523,/m/01jwx6,Vibration,sound effect
524,/m/07c52,Television,sound effect
525,/m/06bz3,Radio,sound effect
526,/m/07hvw1,Field recording,sound effect
